Iteration,Mode,Total_Handshake_ms,Crypto_Proc_ms,AES_GCM_Tx_Rx_ms,Energy_mJ,CPU_Load_Percent,SoC_Temp_C
1,FULL_PQC,45.513,8.714,4.215,66.3395,0.0,43.33
2,CACHED_REKEY,11.785,0.123,5.046,1.2178,0.0,42.84
3,CACHED_REKEY,7.366,0.121,4.513,1.323,0.0,41.87
4,CACHED_REKEY,6.888,0.127,3.464,1.1896,0.0,42.35
5,CACHED_REKEY,10.204,0.143,3.804,1.1304,0.0,42.84
6,CACHED_REKEY,7.538,0.123,3.384,1.2623,0.0,42.84
7,CACHED_REKEY,8.323,0.121,3.442,1.2659,0.0,42.84
8,CACHED_REKEY,8.469,0.123,3.468,1.1825,0.0,42.35
9,CACHED_REKEY,7.555,0.121,3.352,1.2683,0.0,42.84
10,CACHED_REKEY,7.108,0.149,3.438,1.085,0.0,41.87
11,CACHED_REKEY,7.399,0.127,3.471,1.2806,0.0,42.35
12,CACHED_REKEY,7.884,0.121,4.659,1.3494,0.0,42.84
13,CACHED_REKEY,7.065,0.122,3.743,1.2815,0.0,42.84
14,CACHED_REKEY,6.871,0.121,3.843,1.2753,0.0,43.33
15,CACHED_REKEY,8.671,0.121,3.914,1.4462,0.0,41.87
16,CACHED_REKEY,9.088,0.124,3.424,1.6355,0.0,42.84
17,CACHED_REKEY,7.521,0.123,3.716,1.574,0.0,41.87
18,CACHED_REKEY,7.449,0.117,4.071,1.253,0.0,42.35
19,CACHED_REKEY,10.795,0.129,4.1,1.3869,0.0,43.82
20,CACHED_REKEY,8.579,0.121,3.704,1.1873,0.0,41.87
21,CACHED_REKEY,7.012,0.121,3.963,1.2321,0.0,41.87
22,CACHED_REKEY,7.772,0.12,3.868,1.2537,0.0,42.35
23,CACHED_REKEY,10.738,0.12,3.633,1.2001,0.0,42.84
24,CACHED_REKEY,9.292,0.122,3.922,1.2336,0.0,42.35
25,CACHED_REKEY,6.763,0.121,3.51,1.6128,0.0,41.87
26,CACHED_REKEY,10.983,0.125,3.428,1.2229,0.0,42.35
27,CACHED_REKEY,7.978,0.121,3.899,1.6331,0.0,42.35
28,CACHED_REKEY,7.379,0.117,3.769,1.1269,0.0,43.33
29,CACHED_REKEY,7.615,0.149,3.895,1.2306,0.0,42.35
30,CACHED_REKEY,7.958,0.145,4.375,1.231,0.0,42.35
31,CACHED_REKEY,10.398,0.125,3.64,1.191,0.0,41.38
32,CACHED_REKEY,10.578,0.121,3.81,1.2663,0.0,42.35
