Swarm_Size,Velocity_ms,Full_Handshake_Mean_ms,Full_Handshake_P50_ms,Full_Handshake_P95_ms,Full_Handshake_P99_ms,Cached_Rekey_Mean_ms,Cached_Rekey_P50_ms,Cached_Rekey_P95_ms,Cached_Rekey_P99_ms,Full_Energy_Mean_mJ,Rekey_Energy_Mean_mJ,Queue_Delay_Mean_ms,PDR,URLLC_Compliant_CachedRekey
1,0.0,45.526,45.526,45.874,45.973,8.104,7.828,10.747,11.666,66.3579,1.2734,0.001,0.989,MEAN_ONLY
1,5.0,46.401,46.393,46.709,46.818,8.121,7.856,10.534,11.566,67.6328,1.2823,0.002,0.9875,MEAN_ONLY
1,10.0,46.492,46.498,46.803,46.87,8.132,7.909,10.584,11.158,67.7662,1.2837,0.001,0.986,MEAN_ONLY
1,15.0,46.539,46.535,46.891,47.011,8.309,7.93,10.71,11.115,67.8342,1.2711,0.001,0.9845,MEAN_ONLY
1,20.0,46.652,46.649,46.992,47.105,8.253,8.05,10.722,11.639,67.999,1.2576,0.002,0.983,MEAN_ONLY
1,25.0,46.708,46.71,47.061,47.197,8.16,7.907,10.431,10.742,68.0812,1.3002,0.001,0.9815,MEAN_ONLY
10,0.0,45.504,45.512,45.832,45.926,8.154,7.891,10.386,11.005,66.3258,1.2731,0.014,0.989,MEAN_ONLY
10,5.0,46.415,46.433,46.742,46.819,8.122,7.876,10.599,10.749,67.654,1.3007,0.015,0.9875,MEAN_ONLY
10,10.0,46.48,46.493,46.828,46.983,8.264,8.005,10.537,10.842,67.7488,1.2983,0.019,0.986,MEAN_ONLY
10,15.0,46.573,46.595,46.954,47.069,8.187,7.905,10.647,11.037,67.8842,1.2896,0.019,0.9845,MEAN_ONLY
10,20.0,46.662,46.656,47.017,47.105,8.109,7.975,10.388,10.801,68.014,1.2856,0.015,0.983,MEAN_ONLY
10,25.0,46.728,46.738,47.093,47.242,8.108,7.914,10.383,11.648,68.1102,1.2944,0.018,0.9815,MEAN_ONLY
20,0.0,45.551,45.563,45.839,46.004,8.246,7.89,10.678,11.717,66.3948,1.2763,0.04,0.989,MEAN_ONLY
20,5.0,46.415,46.422,46.756,46.852,8.339,8.058,10.973,11.826,67.6529,1.2871,0.036,0.9875,MEAN_ONLY
20,10.0,46.518,46.517,46.961,47.032,8.168,7.916,10.566,11.246,67.8035,1.2742,0.035,0.986,MEAN_ONLY
20,15.0,46.615,46.607,46.974,47.075,8.258,7.978,10.71,11.696,67.9448,1.2824,0.033,0.9845,MEAN_ONLY
20,20.0,46.666,46.673,46.998,47.085,8.09,7.877,10.592,10.96,68.0194,1.2884,0.035,0.983,MEAN_ONLY
20,25.0,46.733,46.718,47.095,47.233,8.235,7.964,10.742,11.727,68.1172,1.2734,0.038,0.9815,MEAN_ONLY
30,0.0,45.567,45.568,45.924,46.06,8.396,8.224,10.701,11.76,66.418,1.2712,0.059,0.989,MEAN_ONLY
30,5.0,46.452,46.445,46.841,46.94,8.284,7.959,10.916,11.816,67.7069,1.2852,0.063,0.9875,MEAN_ONLY
30,10.0,46.541,46.546,46.867,47.068,8.221,7.992,10.54,11.512,67.8368,1.269,0.06,0.986,MEAN_ONLY
30,15.0,46.614,46.616,46.979,47.061,8.219,7.986,10.626,10.885,67.944,1.2754,0.058,0.9845,MEAN_ONLY
30,20.0,46.667,46.656,47.023,47.187,8.141,7.936,10.295,11.177,68.0211,1.2767,0.054,0.983,MEAN_ONLY
30,25.0,46.754,46.764,47.096,47.243,8.147,7.906,10.574,10.825,68.147,1.2709,0.059,0.9815,MEAN_ONLY
40,0.0,45.562,45.557,45.931,46.061,8.382,8.026,10.948,11.859,66.4101,1.2813,0.076,0.989,MEAN_ONLY
40,5.0,46.468,46.475,46.811,46.924,8.311,8.07,10.742,11.536,67.731,1.2811,0.092,0.9875,MEAN_ONLY
40,10.0,46.585,46.576,46.962,47.096,8.36,8.067,10.67,11.735,67.9008,1.2719,0.112,0.986,MEAN_ONLY
40,15.0,46.659,46.64,47.104,47.228,8.391,8.149,10.8,11.15,68.0096,1.268,0.12,0.9845,MEAN_ONLY
40,20.0,46.716,46.715,47.074,47.306,8.2,8.02,10.543,11.209,68.0917,1.2873,0.133,0.983,MEAN_ONLY
40,25.0,46.798,46.777,47.228,47.375,8.261,8.061,10.544,11.216,68.2121,1.2756,0.1,0.9815,MEAN_ONLY
50,0.0,45.679,45.662,46.083,46.359,8.363,8.142,10.659,11.843,66.5814,1.2751,0.156,0.989,MEAN_ONLY
